timestamp,goal_area,result,shot_origin,notes,Game,nshots,player
2026-02-12 09:37:05,Top Center,Goal,Unknown,,Xico-S.Bernardo,2,Zé
2026-02-12 09:38:14,Top Left,Goal,Unknown,,Xico-S.Bernardo,2,Zé
2026-02-12 09:38:58,Middle Right,Goal,Unknown,,Xico-S.Bernardo,4,Zé
2026-02-12 09:39:22,Middle Right,Save,Unknown,,Xico-S.Bernardo,2,Zé
2026-02-12 09:39:40,Middle Center,Save,Unknown,,Xico-S.Bernardo,1,Zé
2026-02-12 09:39:45,Middle Center,Goal,Unknown,,Xico-S.Bernardo,1,Zé
2026-02-12 09:39:57,Middle Left,Goal,Unknown,,Xico-S.Bernardo,2,Zé
2026-02-12 09:40:07,Middle Left,Save,Unknown,,Xico-S.Bernardo,6,Zé
2026-02-12 09:40:45,Lower Right,Goal,Unknown,,Xico-S.Bernardo,4,Zé
2026-02-12 09:40:53,Lower Center,Goal,Unknown,,Xico-S.Bernardo,3,Zé
2026-02-12 09:40:58,Lower Left,Goal,Unknown,,Xico-S.Bernardo,5,Zé
2026-02-14 11:42:54,Top Right,Goal,Unknown,,Xico-S.Bernardo,1,Leo
2026-02-14 11:43:28,Lower Right,Goal,Unknown,,Xico-S.Bernardo,1,Tiago
2026-02-14 11:45:14,Top Right,Goal,Unknown,,Porto-Xico,4,Zé
2026-02-14 11:45:18,Top Right,Save,Unknown,,Porto-Xico,1,Zé
2026-02-14 11:45:25,Top Center,Save,Unknown,,Porto-Xico,1,Zé
2026-02-14 11:45:26,Top Center,Goal,Unknown,,Porto-Xico,1,Zé
2026-02-14 11:45:33,Top Left,Goal,Unknown,,Porto-Xico,1,Zé
2026-02-14 11:45:49,Middle Right,Goal,Unknown,,Porto-Xico,2,Zé
2026-02-14 11:45:52,Middle Right,Save,Unknown,,Porto-Xico,1,Zé
2026-02-14 11:46:02,Middle Center,Save,Unknown,,Porto-Xico,2,Zé
2026-02-14 11:46:13,Middle Left,Goal,Unknown,,Porto-Xico,6,Zé
2026-02-14 11:46:27,Lower Right,Goal,Unknown,,Porto-Xico,2,Zé
2026-02-14 11:46:32,Lower Right,Save,Unknown,,Porto-Xico,1,Zé
2026-02-14 11:46:49,Lower Center,Goal,Unknown,,Porto-Xico,6,Zé
2026-02-14 11:46:56,Lower Center,Save,Unknown,,Porto-Xico,2,Zé
2026-02-14 11:47:12,Lower Left,Goal,Unknown,,Porto-Xico,4,Zé
2026-02-14 11:47:27,Lower Left,Save,Unknown,,Porto-Xico,3,Zé
2026-02-14 11:50:02,Lower Right,Goal,Unknown,,Porto-Xico,1,Leo
2026-02-14 11:50:08,Middle Center,Goal,Unknown,,Porto-Xico,1,Leo
2026-02-14 12:09:47,Top Right,Goal,Unknown,,Sporting-Xico,2,Zé
2026-02-14 12:10:07,Top Left,Goal,Unknown,,Sporting-Xico,4,Zé
2026-02-14 12:10:37,Middle Right,Goal,Unknown,,Sporting-Xico,4,Zé
2026-02-14 12:10:49,Middle Right,Save,Unknown,,Sporting-Xico,2,Zé
2026-02-14 12:11:12,Middle Left,Goal,Unknown,,Sporting-Xico,5,Zé
2026-02-14 12:11:16,Middle Left,Save,Unknown,,Sporting-Xico,1,Zé
2026-02-14 12:11:28,Middle Right,Goal,Unknown,,Sporting-Xico,4,Zé
2026-02-14 12:11:38,Middle Center,Goal,Unknown,,Sporting-Xico,2,Zé
